Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,eFG,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terance Mann,69,"$1,000,000",SG,23,LAC,35,6,7.7,0.6,1.5,0.407,0.1,0.3,0.25,0.5,1.2,0.452,0.435,0.3,0.3,0.75,0.1,0.8,0.9,1.1,0.2,0.1,0.4,1,1.6
Amile Jefferson,69,"$1,529,007",PF,26,ORL,18,0,4.1,0.3,0.8,0.357,0,0,,0.3,0.8,0.357,0.357,0.3,0.8,0.357,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8
Malcolm Miller,69,"$1,427,191",SF,26,TOR,25,1,5,0.3,1,0.333,0.2,0.8,0.316,0.1,0.2,0.4,0.458,0,0.2,0.167,0,0.5,0.6,0.3,0.2,0.1,0.1,0.5,0.9
Gary Clark,69,"$1,588,231",PF,25,ORL,35,1,12.1,1.1,2.9,0.376,0.8,2.5,0.326,0.3,0.4,0.667,0.515,0.2,0.3,0.889,0.8,1.7,2.4,0.4,0.1,0.4,0.1,0.9,3.2
Miye Oni,69,"$898,310",SG,22,UTA,5,0,2.2,0,0.4,0,0,0.2,0,0,0.2,0,0,0,0,,0,0.4,0.4,0,0,0,0.2,0,0
Brandon Goodwin,68,"$522,738",PG,24,ATL,34,1,12.6,2.2,5.6,0.4,0.8,2.6,0.299,1.5,3,0.485,0.468,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
Isaiah Hartenstein,68,"$1,254,933",C,21,HOU,23,2,11.6,1.9,2.9,0.657,0,0.2,0,1.9,2.7,0.71,0.657,0.8,1.2,0.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
Michael Frazier,68,"$1,416,852",SG,25,HOU,8,0,8.3,0.5,1.4,0.364,0.3,1,0.25,0.3,0.4,0.667,0.455,0.5,0.8,0.667,0.1,0.3,0.4,0.1,0.3,0,0.3,1.6,1.8
Kostas Antetokounmpo,68,"$79,568",PF,22,LAL,3,0,1.7,0,0,,0,0,,0,0,,,0,0,,0,0.3,0.3,0.3,0,0,0,0,0
Jalen Lecque,68,"$79,568",PG,19,PHO,4,0,6.5,1,2.5,0.4,0,1,0,1,1.5,0.667,0.4,0.5,0.5,1,0,0,0,0.5,0,0,0.3,0.5,2.5
Jordan McRae,68,"$898,310",SG,28,DET,37,4,21.2,4,9.9,0.407,1.2,3.4,0.357,2.8,6.5,0.433,0.469,2.2,2.9,0.761,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2,11.5
Isaac Bonga,68,"$1,416,852",SF,20,WAS,58,41,17.7,1.7,3.2,0.522,0.4,0.9,0.4,1.3,2.2,0.574,0.582,0.9,1.1,0.813,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.3,4.6
Duncan Robinson,67,"$1,416,852",SF,25,MIA,65,60,30,4.4,9.4,0.467,3.7,8.4,0.448,0.7,1.1,0.614,0.665,0.7,0.8,0.906,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3
