Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,eFG,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Layman,75,"$4,767,000",PF,25,MIN,23,2,22,3.5,7.8,0.453,1,3.1,0.333,2.5,4.7,0.533,0.52,1,1.4,0.75,0.7,1.7,2.5,0.7,0.7,0.4,1,2,9.1
Josh Hart,75,"$6,004,753",SF,24,NOP,57,14,27.4,3.5,8.4,0.416,1.9,5.7,0.342,1.6,2.7,0.571,0.531,1.2,1.6,0.747,0.9,5.5,6.5,1.6,1,0.4,1.1,2.5,10.2
Wayne Ellington,75,"$10,133,907",SG,32,NYK,36,1,15.5,1.7,4.8,0.351,1.4,4,0.35,0.3,0.9,0.355,0.494,0.3,0.4,0.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1
Allonzo Trier,75,"$3,581,986",PG,24,NYK,24,1,12.1,2.1,4.4,0.481,0.8,2.2,0.358,1.3,2.2,0.604,0.571,1.4,1.8,0.791,0.3,1,1.2,1.2,0.1,0.2,0.9,1.2,6.5
Damyean Dotson,75,"$15,349,400",SG,25,NYK,48,0,17.4,2.5,6,0.414,1.2,3.4,0.362,1.3,2.6,0.48,0.516,0.5,0.7,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
Mike Scott,75,"$1,934,160",PF,31,PHI,63,10,17.8,2.1,5.1,0.408,1.2,3.2,0.358,0.9,1.8,0.496,0.522,0.4,0.5,0.833,0.9,2.7,3.6,0.8,0.3,0.1,0.4,1.3,5.7
Aron Baynes,75,"$8,000,000",C,33,PHO,42,28,22.2,4.4,9.1,0.48,1.4,4,0.351,3,5.1,0.582,0.558,1.3,1.8,0.747,1.7,4,5.6,1.6,0.2,0.5,1.2,3.4,11.5
Mikal Bridges,75,"$3,551,100",SF,23,PHO,65,24,27.3,3.2,6.3,0.516,0.9,2.4,0.352,2.4,3.8,0.621,0.585,1.4,1.6,0.848,0.9,3.1,4,1.8,1.4,0.6,1,2.2,8.7
Mario Hezonja,75,"$1,618,520",PF,24,POR,47,4,16.3,1.7,4,0.429,0.4,1.4,0.328,1.3,2.7,0.48,0.484,0.9,1.1,0.824,0.6,2.9,3.4,0.9,0.6,0.2,0.8,2,4.8
Richaun Holmes,75,"$4,767,000",C,26,SAC,39,33,28.8,5.4,8.2,0.654,0,0,,5.4,8.2,0.654,0.654,2.1,2.6,0.8,3,5.3,8.3,1,1,1.4,1.3,3.9,12.8
Marco Belinelli,75,"$5,453,280",SG,33,SAS,52,0,15,2,5.2,0.391,1.1,3,0.368,0.9,2.2,0.422,0.496,0.6,0.8,0.78,0.1,1.7,1.7,1.2,0.2,0,0.3,0.8,5.8
Trey Lyles,75,"$4,161,000",PF,24,SAS,63,53,20.2,2.4,5.4,0.446,1,2.7,0.387,1.4,2.8,0.503,0.541,0.5,0.7,0.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
Bryn Forbes,75,"$1,737,145",SG,26,SAS,63,62,25.1,3.8,9.2,0.417,2.3,6,0.388,1.5,3.2,0.47,0.544,1.2,1.4,0.833,0.2,1.8,2,1.7,0.5,0,0.9,1.8,11.2
Rondae Hollis-Jefferson,75,"$4,767,000",SF,25,TOR,52,5,19.2,2.7,5.7,0.471,0,0.3,0.118,2.6,5.3,0.493,0.475,1.8,2.5,0.736,2,2.9,4.9,1.7,0.8,0.4,0.9,2,7.2
Noah Vonleh,75,"$19,269,663",C-PF,24,DEN,33,1,11,1.5,2.7,0.562,0.1,0.5,0.2,1.4,2.2,0.635,0.579,0.7,0.9,0.8,1.1,2.6,3.7,0.8,0.3,0.2,0.6,1.2,3.8
